d s a   m_i     
1 1 0	 1
133 9 220	 1 3 3 3 5 35 23 195 349
134 9 227	 1 3 3 7 9 27 39 59 297
135 9 230	 1 3 7 15 25 57 33 189 213
136 9 236	 1 3 3 13 19 27 23 113 249
137 9 241	 1 3 5 3 23 43 3 253 479
138 10 50	 1 3 7 13 19 13 9 67 9 737
139 10 69	 1 1 7 9 13 39 3 47 497 169
140 10 98	 1 3 1 7 21 17 97 19 415 905
141 10 140	 1 3 5 13 31 47 101 57 39 341
142 10 145	 1 1 3 3 31 57 125 173 365 551
143 10 152	 1 3 7 1 13 57 67 157 451 707
144 10 158	 1 1 1 7 21 13 105 89 429 965
145 10 161	 1 1 5 9 17 51 45 119 157 141
146 10 181	 1 3 7 1 23 57 67 141 151 571
147 10 203	 1 1 5 3 15 55 101 67 455 625
148 10 253	 1 1 3 13 11 39 21 207 123 305
149 10 265	 1 1 3 9 29 3 95 47 231 73
150 10 274	 1 3 1 13 21 39 125 211 439 723
151 10 283	 1 1 7 3 17 63 115 89 49 773
152 10 289	 1 3 7 13 11 33 101 107 63 73
153 10 319	 1 1 3 15 25 55 9 101 219 607
154 10 346	 1 3 3 3 25 55 17 75 337 3
155 10 352	 1 1 1 13 25 17 65 45 479 413
156 10 361	 1 1 7 7 27 49 99 161 213 727
157 10 382	 1 3 3 7 11 61 39 87 383 835
158 10 395	 1 1 3 15 13 7 29 7 505 923
159 10 412	 1 3 3 13 5 1 119 211 455 1001
160 10 419	 1 1 3 5 13 19 3 243 75 843
161 10 426	 1 1 1 9 1 25 109 197 279 411
162 10 428	 1 3 1 15 23 57 59 135 191 75
163 10 433	 1 1 5 15 29 21 39 253 383 349
164 10 446	 1 3 3 5 19 45 61 151 199 981
165 10 505	 1 1 7 13 15 41 47 243 303 437
166 11 2	 1 3 3 15 27 49 113 123 113 67 469
167 11 11	 1 3 7 11 3 23 87 169 119 483 199
168 11 21	 1 1 5 15 7 17 109 229 179 213 741
169 11 22	 1 1 5 13 11 17 25 135 403 557 1433
170 11 35	 1 3 1 1 1 61 67 215 189 945 1243
171 11 49	 1 1 7 13 17 33 9 221 429 217 1679
172 11 50	 1 1 3 11 27 3 15 93 93 865 1049
173 11 56	 1 3 7 7 25 41 121 35 373 379 1547
174 11 61	 1 3 3 9 11 35 45 205 241 9 59
175 11 70	 1 3 1 7 3 51 7 177 53 975 89
176 11 74	 1 1 3 5 27 1 113 231 299 759 861
177 11 79	 1 3 3 15 25 29 5 255 139 891 2031
178 11 84	 1 3 1 1 13 9 109 193 419 95 17
179 11 88	 1 1 7 9 3 7 29 41 135 839 867
180 11 103	 1 1 7 9 25 49 123 217 113 909 215
181 11 104	 1 1 7 3 23 15 43 133 217 327 901
182 11 112	 1 1 3 3 13 53 63 123 477 711 1387
183 11 115	 1 1 3 15 7 29 75 119 181 957 247
184 11 117	 1 1 1 11 27 25 109 151 267 99 1461
185 11 122	 1 3 7 15 5 5 53 145 11 725 1501
186 11 134	 1 3 7 1 9 43 71 229 157 607 1835
187 11 137	 1 3 3 13 25 1 5 27 471 349 127
188 11 146	 1 1 1 1 23 37 9 221 269 897 1685
189 11 148	 1 1 3 3 31 29 51 19 311 553 1969
190 11 157	 1 3 7 5 5 55 17 39 475 671 1529
191 11 158	 1 1 7 1 1 35 47 27 437 395 1635
192 11 162	 1 1 7 3 13 23 43 135 327 139 389
193 11 164	 1 3 7 3 9 25 91 25 429 219 513
194 11 168	 1 1 3 5 13 29 119 201 277 157 2043
195 11 173	 1 3 5 3 29 57 13 17 167 739 1031
196 11 185	 1 3 3 5 29 21 95 27 255 679 1531
197 11 186	 1 3 7 15 9 5 21 71 61 961 1201
198 11 191	 1 3 5 13 15 57 33 93 459 867 223
199 11 193	 1 1 1 15 17 43 127 191 67 177 1073
200 11 199	 1 1 1 15 23 7 21 199 75 293 1611
201 11 213	 1 3 7 13 15 39 21 149 65 741 319
202 11 214	 1 3 7 11 23 13 101 89 277 519 711
203 11 220	 1 3 7 15 19 27 85 203 441 97 1895
204 11 227	 1 3 1 3 29 25 21 155 11 191 197
205 11 236	 1 1 7 5 27 11 81 101 457 675 1687
206 11 242	 1 3 1 5 25 5 65 193 41 567 781
207 11 251	 1 3 1 5 11 15 113 77 411 695 1111
208 11 256	 1 1 3 9 11 53 119 171 55 297 509
209 11 259	 1 1 1 1 11 39 113 139 165 347 595
210 11 265	 1 3 7 11 9 17 101 13 81 325 1733
211 11 266	 1 3 1 1 21 43 115 9 113 907 645
212 11 276	 1 1 7 3 9 25 117 197 159 471 475
213 11 292	 1 3 1 9 11 21 57 207 485 613 1661
214 11 304	 1 1 7 7 27 55 49 223 89 85 1523
215 11 310	 1 1 5 3 19 41 45 51 447 299 1355
216 11 316	 1 3 1 13 1 33 117 143 313 187 1073
217 11 319	 1 1 7 7 5 11 65 97 377 377 1501
218 11 322	 1 3 1 1 21 35 95 65 99 23 1239
219 11 328	 1 1 5 9 3 37 95 167 115 425 867
220 11 334	 1 3 3 13 1 37 27 189 81 679 773
221 11 339	 1 1 3 11 1 61 99 233 429 969 49
222 11 341	 1 1 1 7 25 63 99 165 245 793 1143
223 11 345	 1 1 5 11 11 43 55 65 71 283 273
224 11 346	 1 1 5 5 9 3 101 251 355 379 1611
225 11 362	 1 1 1 15 21 63 85 99 49 749 1335
226 11 367	 1 1 5 13 27 9 121 43 255 715 289
227 11 372	 1 3 1 5 27 19 17 223 77 571 1415
228 11 375	 1 1 5 3 13 59 125 251 195 551 1737
229 11 376	 1 3 3 15 13 27 49 105 389 971 755
230 11 381	 1 3 5 15 23 43 35 107 447 763 253
231 11 385	 1 3 5 11 21 3 17 39 497 407 611
232 11 388	 1 1 7 13 15 31 113 17 23 507 1995
233 11 392	 1 1 7 15 3 15 31 153 423 79 503
234 11 409	 1 1 7 9 19 25 23 171 505 923 1989
235 11 415	 1 1 5 9 21 27 121 223 133 87 697
236 11 416	 1 1 5 5 9 19 107 99 319 765 1461
237 11 421	 1 1 3 3 19 25 3 101 171 729 187
238 11 428	 1 1 3 1 13 23 85 93 291 209 37
239 11 431	 1 1 1 15 25 25 77 253 333 947 1073
240 11 434	 1 1 3 9 17 29 55 47 255 305 2037
241 11 439	 1 3 3 9 29 63 9 103 489 939 1523
242 11 446	 1 3 7 15 7 31 89 175 369 339 595
243 11 451	 1 3 7 13 25 5 71 207 251 367 665
244 11 453	 1 3 3 3 21 25 75 35 31 321 1603
245 11 457	 1 1 1 9 11 1 65 5 11 329 535
246 11 458	 1 1 5 3 19 13 17 43 379 485 383
247 11 471	 1 3 5 13 13 9 85 147 489 787 1133
248 11 475	 1 3 1 1 5 51 37 129 195 297 1783
249 11 478	 1 1 3 15 19 57 59 181 455 697 2033
250 11 484	 1 3 7 1 27 9 65 145 325 189 201
251 11 493	 1 3 1 15 31 23 19 5 485 581 539
252 11 494	 1 1 7 13 11 15 65 83 185 847 831
253 11 499	 1 3 5 7 7 55 73 15 303 511 1905
254 11 502	 1 3 5 9 7 21 45 15 397 385 597
255 11 517	 1 3 7 3 23 13 73 221 511 883 1265
256 11 518	 1 1 3 11 1 51 73 185 33 975 1441
257 11 524	 1 3 3 9 19 59 21 39 339 37 143
258 11 527	 1 1 7 1 31 33 19 167 117 635 639
259 11 555	 1 1 1 3 5 13 59 83 355 349 1967
260 11 560	 1 1 1 5 19 3 53 133 97 863 983
261 11 565	 1 3 1 13 9 41 91 105 173 97 625
262 11 569	 1 1 5 3 7 49 115 133 71 231 1063
263 11 578	 1 1 7 5 17 43 47 45 497 547 757
264 11 580	 1 3 5 15 21 61 123 191 249 31 631
265 11 587	 1 3 7 9 17 7 11 185 127 169 1951
266 11 589	 1 1 5 13 11 11 9 49 29 125 791
267 11 590	 1 1 1 15 31 41 13 167 273 429 57
268 11 601	 1 3 5 3 27 7 35 209 65 265 1393
269 11 607	 1 3 1 13 31 19 53 143 135 9 1021
270 11 611	 1 1 7 13 31 5 115 153 143 957 623
271 11 614	 1 1 5 11 25 19 29 31 297 943 443
272 11 617	 1 3 3 5 21 11 127 81 479 25 699
273 11 618	 1 1 3 11 25 31 97 19 195 781 705
274 11 625	 1 1 5 5 31 11 75 207 197 885 2037
275 11 628	 1 1 1 11 9 23 29 231 307 17 1497
276 11 635	 1 1 5 11 11 43 111 233 307 523 1259
277 11 641	 1 1 7 5 1 21 107 229 343 933 217
278 11 647	 1 1 1 11 3 21 125 131 405 599 1469
279 11 654	 1 3 5 5 9 39 33 81 389 151 811
280 11 659	 1 1 7 7 7 1 59 223 265 529 2021
281 11 662	 1 3 1 3 9 23 85 181 47 265 49
282 11 672	 1 3 5 11 19 23 9 7 157 299 1983
283 11 675	 1 3 1 5 15 5 21 105 29 339 1041
284 11 682	 1 1 1 1 5 33 65 85 111 705 479
285 11 684	 1 1 1 7 9 35 77 87 151 321 101
286 11 689	 1 1 5 7 17 1 51 197 175 811 1229
287 11 695	 1 3 3 15 23 37 85 185 239 543 731
288 11 696	 1 3 1 7 7 55 111 109 289 439 243
289 11 713	 1 1 7 11 17 53 35 217 259 853 1667
290 11 719	 1 3 1 9 1 63 87 17 73 565 1091
291 11 724	 1 1 3 3 11 41 1 57 295 263 1029
292 11 733	 1 1 5 1 27 45 109 161 411 421 1395
293 11 734	 1 3 5 11 25 35 47 191 339 417 1727
294 11 740	 1 1 5 15 21 1 93 251 351 217 1767
295 11 747	 1 3 3 11 3 7 75 155 313 211 491
296 11 749	 1 3 3 5 11 9 101 161 453 913 1067
297 11 752	 1 1 3 1 15 45 127 141 163 727 1597
298 11 755	 1 3 3 7 1 33 63 73 73 341 1691
299 11 762	 1 3 5 13 15 39 53 235 77 99 949
300 11 770	 1 1 5 13 31 17 97 13 215 301 1927
301 11 782	 1 1 7 1 1 37 91 93 441 251 1131
302 11 784	 1 3 7 9 25 5 105 69 81 943 1459
303 11 787	 1 3 7 11 31 43 13 209 27 1017 501
304 11 789	 1 1 7 15 1 33 31 233 161 507 387
305 11 793	 1 3 3 5 5 53 33 177 503 627 1927
306 11 796	 1 1 7 11 7 61 119 31 457 229 1875
307 11 803	 1 1 5 15 19 5 53 201 157 885 1057
308 11 805	 1 3 7 9 1 35 51 113 249 425 1009
309 11 810	 1 3 5 7 21 53 37 155 119 345 631
310 11 815	 1 3 5 7 15 31 109 69 503 595 1879
311 11 824	 1 3 3 1 25 35 65 131 403 705 503
312 11 829	 1 3 7 7 19 33 11 153 45 633 499
313 11 830	 1 3 3 5 11 3 29 93 487 33 703
314 11 832	 1 1 3 15 21 53 107 179 387 927 1757
315 11 841	 1 1 3 7 21 45 51 147 175 317 361
316 11 847	 1 1 1 7 7 13 15 243 269 795 1965
317 11 849	 1 1 3 5 19 33 57 115 443 537 627
318 11 861	 1 3 3 9 3 39 25 61 185 717 1049
319 11 871	 1 3 7 3 7 37 107 153 7 269 1581
320 11 878	 1 1 7 3 7 41 91 41 145 489 1245
321 11 889	 1 1 5 9 7 7 105 81 403 407 283
322 11 892	 1 1 7 9 27 55 29 77 193 963 949
323 11 901	 1 1 5 3 25 51 107 63 403 917 815
324 11 908	 1 1 7 3 7 61 19 51 457 599 535
325 11 920	 1 3 7 1 23 51 105 153 239 215 1847
326 11 923	 1 1 3 5 27 23 79 49 495 45 1935
327 11 942	 1 1 1 11 11 47 55 133 495 999 1461
328 11 949	 1 1 3 15 27 51 93 17 355 763 1675
329 11 950	 1 3 1 3 1 3 79 119 499 17 995
330 11 954	 1 1 1 1 15 43 45 17 167 973 799
331 11 961	 1 1 1 3 27 49 89 29 483 913 2023
332 11 968	 1 1 3 3 5 11 75 7 41 851 611
333 11 971	 1 3 1 3 7 57 39 123 257 283 507
334 11 973	 1 3 3 11 27 23 113 229 187 299 133
335 11 979	 1 1 3 13 9 63 101 77 451 169 337
336 11 982	 1 3 7 3 3 59 45 195 229 415 409
337 11 986	 1 3 5 3 11 19 71 93 43 857 369
338 11 998	 1 3 7 9 19 33 115 19 241 703 247
339 11 1001	 1 3 5 11 5 35 21 155 463 1005 1073
340 11 1010	 1 3 7 3 25 15 109 83 93 69 1189
341 11 1012	 1 3 5 7 5 21 93 133 135 167 903
342 12 41	 1 1 7 7 3 59 121 161 285 815 1769 3705
343 12 52	 1 3 1 1 3 47 103 171 381 609 185 373
344 12 61	 1 3 3 15 23 33 107 131 441 445 689 2059
345 12 62	 1 3 3 11 7 53 101 167 435 803 1255 3781
346 12 76	 1 1 5 11 15 59 41 19 135 835 1263 505
347 12 104	 1 1 7 11 21 49 23 219 127 961 1065 385
348 12 117	 1 3 5 15 7 47 117 217 45 731 1639 733
349 12 131	 1 1 7 11 27 57 91 87 81 35 1269 1007
350 12 143	 1 1 3 11 15 37 53 219 193 937 1899 3733
351 12 145	 1 3 5 3 13 11 27 19 199 393 965 2195
352 12 157	 1 3 1 3 5 1 37 173 413 1023 553 409
353 12 167	 1 3 1 7 15 29 123 95 255 373 1799 3841
354 12 171	 1 3 5 13 21 57 51 17 511 195 1157 1831
355 12 176	 1 1 1 15 29 19 7 73 295 519 587 3523
356 12 181	 1 1 5 13 13 35 115 191 123 535 717 1661
357 12 194	 1 3 3 5 23 21 47 251 379 921 1119 297
358 12 217	 1 3 3 9 29 53 121 201 135 193 523 2943
359 12 236	 1 1 1 7 29 45 125 9 99 867 425 601
360 12 239	 1 3 1 9 13 15 67 181 109 293 1305 3079
361 12 262	 1 3 3 9 5 35 15 209 305 87 767 2795
362 12 283	 1 3 3 11 27 57 113 123 179 643 149 523
363 12 286	 1 1 3 15 11 17 67 223 63 657 335 3309
364 12 307	 1 1 1 9 25 29 109 159 39 513 571 1761
365 12 313	 1 1 3 1 5 63 75 19 455 601 123 691
366 12 319	 1 1 1 3 21 5 45 169 377 513 1951 2565
367 12 348	 1 1 3 11 3 33 119 69 253 907 805 1449
368 12 352	 1 1 5 13 31 15 17 7 499 61 687 1867
369 12 357	 1 3 7 11 17 33 73 77 299 243 641 2345
370 12 391	 1 1 7 11 9 35 31 235 359 647 379 1161
371 12 398	 1 3 3 15 31 25 5 67 33 45 437 4067
372 12 400	 1 1 3 11 7 17 37 87 333 253 1517 2921
373 12 412	 1 1 7 15 7 15 107 189 153 769 1521 3427
374 12 415	 1 3 5 13 5 61 113 37 293 393 113 43
375 12 422	 1 1 1 15 29 43 107 31 167 147 301 1021
376 12 440	 1 1 1 13 3 1 35 93 195 181 2027 1491
377 12 460	 1 3 3 3 13 33 77 199 153 221 1699 3671
378 12 465	 1 3 5 13 7 49 123 155 495 681 819 809
379 12 468	 1 3 5 15 27 61 117 189 183 887 617 4053
380 12 515	 1 1 1 7 31 59 125 235 389 369 447 1039
381 12 536	 1 3 5 1 5 39 115 89 249 377 431 3747
382 12 539	 1 1 1 5 7 47 59 157 77 445 699 3439
383 12 551	 1 1 3 5 11 21 19 75 11 599 1575 735
384 12 558	 1 3 5 3 19 13 41 69 199 143 1761 3215
385 12 563	 1 3 5 7 19 43 25 41 41 11 1647 2783
386 12 570	 1 3 1 9 19 45 111 97 405 399 457 3219
387 12 595	 1 1 3 1 23 15 65 121 59 985 829 2259
388 12 598	 1 1 3 7 17 13 107 229 75 551 1299 2363
389 12 617	 1 1 5 5 21 57 23 199 509 139 2007 3875
390 12 647	 1 3 1 11 19 53 15 229 215 741 695 823
391 12 654	 1 3 7 1 29 3 17 163 417 559 549 319
392 12 678	 1 3 1 13 17 9 47 133 365 7 1937 1071
393 12 713	 1 3 5 7 19 37 55 163 301 249 689 2327
394 12 738	 1 3 5 13 11 23 61 205 257 377 615 1457
395 12 747	 1 3 5 1 23 37 13 75 331 495 579 3367
396 12 750	 1 1 1 9 1 23 49 129 475 543 883 2531
397 12 757	 1 3 1 5 23 59 51 35 343 695 219 369
398 12 772	 1 3 3 1 27 17 63 97 71 507 1929 613
399 12 803	 1 1 5 1 21 31 11 109 247 409 1817 2173
400 12 810	 1 1 3 15 23 9 7 209 301 23 147 1691
401 12 812	 1 1 7 5 5 19 37 229 249 277 1115 2309
402 12 850	 1 1 1 5 5 63 5 249 285 431 343 2467
403 12 862	 1 1 1 11 7 45 35 75 505 537 29 2919
404 12 906	 1 3 5 15 11 39 15 63 263 9 199 445
405 12 908	 1 3 3 3 27 63 53 171 227 63 1049 827
406 12 929	 1 1 3 13 7 11 115 183 179 937 1785 381
407 12 930	 1 3 1 11 13 15 107 81 53 295 1785 3757
408 12 954	 1 3 3 13 11 5 109 243 3 505 323 1373
409 12 964	 1 3 3 11 21 51 17 177 381 937 1263 3889
410 12 982	 1 3 5 9 27 25 85 193 143 573 1189 2995
411 12 985	 1 3 5 11 13 9 81 21 159 953 91 1751
412 12 991	 1 1 3 3 27 61 11 253 391 333 1105 635
413 12 992	 1 3 3 15 9 57 95 81 419 735 251 1141
414 12 1067	 1 1 5 9 31 39 59 13 319 807 1241 2433
415 12 1070	 1 3 3 5 27 13 107 141 423 937 2027 3233
416 12 1096	 1 3 3 9 9 25 125 23 443 835 1245 847
417 12 1099	 1 1 7 15 17 17 83 107 411 285 847 1571
418 12 1116	 1 1 3 13 29 61 37 81 349 727 1453 1957
419 12 1143	 1 3 7 11 31 13 59 77 273 591 1265 1533
420 12 1165	 1 1 7 7 13 17 25 25 187 329 347 1473
421 12 1178	 1 3 7 7 5 51 37 99 221 153 503 2583
422 12 1184	 1 3 1 13 19 27 11 69 181 479 1183 3229
423 12 1202	 1 3 3 13 23 21 103 147 323 909 947 315
424 12 1213	 1 3 1 3 23 1 31 59 93 513 45 2271
425 12 1221	 1 3 5 1 7 43 109 59 231 41 1515 2385
426 12 1240	 1 3 1 5 31 57 49 223 283 1013 11 701
427 12 1246	 1 1 5 1 19 53 55 31 31 299 495 693
428 12 1252	 1 3 3 9 5 33 77 253 427 791 731 1019
429 12 1255	 1 3 7 11 1 9 119 203 53 877 1707 3499
430 12 1267	 1 1 3 7 13 39 55 159 423 113 1653 3455
431 12 1293	 1 1 3 5 21 47 51 59 55 411 931 251
432 12 1301	 1 3 7 3 31 25 81 115 405 239 741 455
433 12 1305	 1 1 5 1 31 3 101 83 479 491 1779 2225
434 12 1332	 1 3 3 3 9 37 107 161 203 503 767 3435
435 12 1349	 1 3 7 9 1 27 61 119 233 39 1375 4089
436 12 1384	 1 1 5 9 1 31 45 51 369 587 383 2813
437 12 1392	 1 3 7 5 31 7 49 119 487 591 1627 53
438 12 1402	 1 1 7 1 9 47 1 223 369 711 1603 1917
439 12 1413	 1 3 5 3 21 37 111 17 483 739 1193 2775
440 12 1417	 1 3 3 7 17 11 51 117 455 191 1493 3821
441 12 1423	 1 1 5 9 23 39 99 181 343 485 99 1931
442 12 1451	 1 3 1 7 29 49 31 71 489 527 1763 2909
443 12 1480	 1 1 5 11 5 5 73 189 321 57 1191 3685
444 12 1491	 1 1 5 15 13 45 125 207 371 415 315 983
445 12 1503	 1 3 3 5 25 59 33 31 239 919 1859 2709
446 12 1504	 1 3 5 13 27 61 23 115 61 413 1275 3559
447 12 1513	 1 3 7 15 5 59 101 81 47 967 809 3189
448 12 1538	 1 1 5 11 31 15 39 25 173 505 809 2677
449 12 1544	 1 1 5 9 19 13 95 89 511 127 1395 2935
450 12 1547	 1 1 5 5 31 45 9 57 91 303 1295 3215
451 12 1555	 1 3 3 3 19 15 113 187 217 489 1285 1803
452 12 1574	 1 1 3 1 13 29 57 139 255 197 537 2183
453 12 1603	 1 3 1 15 11 7 53 255 467 9 757 3167
454 12 1615	 1 3 3 15 21 13 9 189 359 323 49 333
455 12 1618	 1 3 7 11 7 37 21 119 401 157 1659 1069
456 12 1629	 1 1 5 7 17 33 115 229 149 151 2027 279
457 12 1634	 1 1 5 15 5 49 77 155 383 385 1985 945
458 12 1636	 1 3 7 3 7 55 85 41 357 527 1715 1619
459 12 1639	 1 1 3 1 21 45 115 21 199 967 1581 3807
460 12 1657	 1 1 3 7 21 39 117 191 169 73 413 3417
461 12 1667	 1 1 1 13 1 31 57 195 231 321 367 1027
462 12 1681	 1 3 7 3 11 29 47 161 71 419 1721 437
463 12 1697	 1 1 7 3 11 9 43 65 157 1 1851 823
464 12 1704	 1 1 1 5 21 15 31 101 293 299 127 1321
465 12 1709	 1 1 7 1 27 1 11 229 241 705 43 1475
466 12 1722	 1 3 7 1 5 15 73 183 193 55 1345 49
467 12 1730	 1 3 3 3 19 3 55 21 169 663 1675 137
468 12 1732	 1 1 1 13 7 21 69 67 373 965 1273 2279
469 12 1802	 1 1 7 7 21 23 17 43 341 845 465 3355
470 12 1804	 1 3 5 5 25 5 81 101 233 139 359 2057
471 12 1815	 1 1 3 11 15 39 55 3 471 765 1143 3941
472 12 1826	 1 1 7 15 9 57 81 79 215 433 333 3855
473 12 1832	 1 1 5 5 19 45 83 31 209 363 701 1303
474 12 1843	 1 3 7 5 1 13 55 163 435 807 287 2031
475 12 1849	 1 3 3 7 3 3 17 197 39 169 489 1769
476 12 1863	 1 1 3 5 29 43 87 161 289 339 1233 2353
477 12 1905	 1 3 3 9 21 9 77 1 453 167 1643 2227
478 12 1928	 1 1 7 1 15 7 67 33 193 241 1031 2339
479 12 1933	 1 3 1 11 1 63 45 65 265 661 849 1979
480 12 1939	 1 3 1 13 19 49 3 11 159 213 659 2839
481 12 1976	 1 3 5 11 9 29 27 227 253 449 1403 3427
482 12 1996	 1 1 3 1 7 3 77 143 277 779 1499 475
483 12 2013	 1 1 1 5 11 23 87 131 393 849 193 3189
484 12 2014	 1 3 5 11 3 3 89 9 449 243 1501 1739
485 12 2020	 1 3 1 9 29 29 113 15 65 611 135 3687
486 13 13	 1 1 1 9 21 19 39 151 395 501 1339 959 2725
487 13 19	 1 3 7 1 7 35 45 33 119 225 1631 1695 1459
